channel,adf_stat,p_value,used_lag,n_obs,icbest,critical_value_1%,critical_value_5%,critical_value_10%,stationary_at_1%,stationary_at_5%,stationary_at_10%
channel_0,-4.511342907124839,0.00018756529384361917,31,3968,7899.460860337414,-3.431999076458594,-2.862268671768981,-2.5671578800184744,True,True,True
channel_1,-4.455097919934759,0.0002368285353718288,31,3968,8773.604588691422,-3.431999076458594,-2.862268671768981,-2.5671578800184744,True,True,True
channel_2,-7.02652429944985,6.343626229325778e-10,28,3971,9879.568647644926,-3.4319978298121763,-2.862268121070097,-2.5671575868492806,True,True,True
channel_3,-11.342736356115303,1.0448914359759696e-20,29,3970,10640.17384973386,-3.431998245151502,-2.8622683045438806,-2.567157684523092,True,True,True
channel_4,-14.318838893499889,1.1504915348276061e-26,30,3969,10251.178057314162,-3.431998660700255,-2.862268488110152,-2.567157782246144,True,True,True
channel_5,-14.564781822981958,4.731241107167309e-27,21,3978,8577.613464697199,-3.4319949282875872,-2.8622668393374067,-2.567156904508229,True,True,True
