feature,adf_stat,p_value,n_obs,critical_value_1%,critical_value_5%,critical_value_10%
HUFL,-8.550517154578031,9.250275951478411e-14,17375,-3.4307264182079904,-2.8617063622340195,-2.566858550311889
HULL,-5.169055271809638,1.0165335326725766e-05,17375,-3.4307264182079904,-2.8617063622340195,-2.566858550311889
MUFL,-8.621208862621963,6.098079311471138e-14,17375,-3.4307264182079904,-2.8617063622340195,-2.566858550311889
MULL,-4.964070596023745,2.6128754201996135e-05,17375,-3.4307264182079904,-2.8617063622340195,-2.566858550311889
LUFL,-5.796895204171198,4.728963647571135e-07,17375,-3.4307264182079904,-2.8617063622340195,-2.566858550311889
LULL,-4.77268565296124,6.132123147779747e-05,17375,-3.4307264182079904,-2.8617063622340195,-2.566858550311889
OT,-3.487963577593401,0.008301649485465403,17375,-3.4307264182079904,-2.8617063622340195,-2.566858550311889
