channel,adf_stat,p_value,used_lag,n_obs,icbest,critical_value_1%,critical_value_5%,critical_value_10%,stationary_at_1%,stationary_at_5%,stationary_at_10%
channel_0,-4.5113429481978375,0.00018756526171748516,31,3968,23423.75780753394,-3.431999076458594,-2.862268671768981,-2.5671578800184744,True,True,True
channel_1,-4.455097895677959,0.00023682855905372602,31,3968,23979.399072341985,-3.431999076458594,-2.862268671768981,-2.5671578800184744,True,True,True
channel_2,-7.026524354255316,6.343624273191079e-10,28,3971,19925.953909200525,-3.4319978298121763,-2.862268121070097,-2.5671575868492806,True,True,True
channel_3,-11.342736364158739,1.044891390880465e-20,29,3970,16573.107930382044,-3.431998245151502,-2.8622683045438806,-2.567157684523092,True,True,True
channel_4,-14.318838898817472,1.150491512191057e-26,30,3969,15006.81721842257,-3.431998660700255,-2.862268488110152,-2.567157782246144,True,True,True
channel_5,-14.564781845211662,4.73124073641827e-27,21,3978,18557.05880696258,-3.4319949282875872,-2.8622668393374067,-2.567156904508229,True,True,True
